data
"",2008-11,2009-08,2009-11,2010-04,2010-05,2010-06,2010-07,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07
activerecord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
couchdb,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,2,4
datamapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop,0,2,7,4,2,3,0,4,5,2,7,1,8,0,7,5,5,12
memcache,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1
memcached,0,0,1,2,5,0,0,2,1,0,1,0,0,1,2,2,3,4
memcachedb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mongo,0,0,0,1,0,0,0,1,1,0,2,0,0,0,3,2,1,6
mongodb,0,0,1,4,2,3,0,9,2,2,6,1,3,1,14,13,12,8
mysql,1,8,2,5,6,3,0,10,9,3,4,6,8,2,23,13,28,17
orm,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2
postgres,0,0,1,1,0,2,0,2,1,0,2,0,2,0,3,2,2,3
postgresql,0,0,0,0,0,0,0,0,0,3,0,0,1,1,3,2,5,3
redis,0,0,0,4,2,1,0,1,2,0,3,4,0,1,9,5,9,8
riak,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3
sequel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
simpledb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
sql alchemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sql server,0,1,1,0,0,2,0,3,0,1,0,1,3,0,3,3,2,0

frameworks
"",2008-11,2009-08,2009-11,2010-04,2010-05,2010-06,2010-07,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07
backbone,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,6,4,6
cake,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
cakephp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
compojure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
django,1,5,0,3,7,7,0,6,7,10,4,3,12,0,12,20,18,19
dojo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
drupal,0,1,1,0,2,2,0,6,2,1,2,3,2,0,2,3,1,6
jquery,1,2,1,5,6,1,0,10,7,6,4,1,9,7,16,23,17,21
lift,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0
merb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node,1,0,1,1,1,0,0,2,6,7,5,0,5,1,12,10,10,11
node.js,0,0,0,1,1,0,0,2,5,6,4,0,5,1,8,7,10,8
prototype,0,0,1,0,2,1,0,0,2,0,0,0,2,2,1,2,1,1
pylons,0,0,1,0,1,0,0,1,0,1,1,0,1,0,3,1,0,1
rails,14,15,16,15,16,25,3,33,26,10,23,11,20,5,50,35,50,52
sinatra,0,0,0,0,0,1,0,1,1,1,1,0,2,0,1,2,0,2
spring,1,1,1,3,0,1,0,0,1,0,0,0,1,1,2,3,1,6
turbogears,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
zope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

languages
"",2008-11,2009-08,2009-11,2010-04,2010-05,2010-06,2010-07,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07
actionscript,1,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,1
c,16,19,8,23,23,14,2,37,24,11,12,18,22,4,32,33,41,37
c#,1,4,2,3,4,1,0,9,5,3,3,1,3,2,12,5,8,4
c++,10,7,3,6,6,7,2,10,8,4,5,4,10,1,10,15,18,15
clojure,0,2,0,2,2,1,0,5,0,1,3,0,1,0,1,3,2,2
coffeescript,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,3,4
css,3,7,5,2,7,4,0,10,18,4,6,5,12,4,17,15,23,24
css3,0,0,1,0,2,0,0,1,1,1,1,0,0,0,0,1,2,3
erlang,0,3,0,1,3,0,2,7,2,2,1,0,2,0,3,5,5,3
flash,1,5,1,1,0,3,1,5,3,3,3,1,3,0,8,2,6,4
flex,2,2,0,2,0,1,2,2,1,0,0,1,0,0,4,1,4,0
groovy,0,2,1,2,1,0,0,0,0,0,2,1,0,0,4,2,1,5
haskell,0,2,0,1,0,0,1,4,0,0,0,1,0,0,0,0,2,1
html,9,13,12,11,11,15,0,17,26,11,18,19,42,3,42,41,44,39
html5,0,0,1,0,3,1,0,1,4,3,4,3,5,0,13,10,8,16
java,10,21,12,16,14,11,1,38,19,7,20,13,23,8,34,40,25,36
javascript,6,12,3,8,12,10,0,18,16,9,16,9,20,3,48,44,49,58
js,1,7,4,4,4,4,0,11,12,7,8,6,22,4,19,21,25,25
lisp,0,4,1,0,0,1,0,1,0,0,1,0,4,0,2,0,0,0
obj-c,0,1,2,1,0,0,0,2,0,0,0,1,1,0,1,1,1,2
objective-c,1,1,0,0,2,1,0,2,2,0,1,1,1,1,3,4,4,6
perl,3,0,1,3,1,1,0,9,4,2,2,2,1,0,11,4,8,4
php,12,17,20,16,7,9,0,16,22,11,22,24,19,9,34,33,32,45
python,5,15,11,19,19,16,4,26,31,18,24,23,26,2,53,45,42,49
ruby,7,15,16,8,10,20,1,35,22,8,22,12,25,3,52,43,53,46
scala,0,1,3,3,4,4,0,5,3,3,5,1,4,0,12,15,10,11
scheme,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sql,1,3,2,1,4,2,0,6,3,3,2,2,7,2,14,8,9,9

mobile
"",2008-11,2009-08,2009-11,2010-04,2010-05,2010-06,2010-07,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07
android,0,5,5,10,7,7,0,6,7,3,10,8,15,0,24,21,25,22
blackberry,0,1,1,2,2,2,0,0,2,0,1,1,4,0,3,4,2,3
ios,0,0,0,0,0,1,0,2,4,4,2,6,17,0,26,20,19,24
iphone,1,7,7,9,9,12,0,11,12,5,6,3,10,3,11,15,13,12

